R2_BAT,120.65,31.75,0,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,162.56,-3.81,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,95.25,48.26,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,67.31,-2.54,90,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,68.58,2.54,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,30.48,39.37,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,40.64,20.32,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,38.1,20.32,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,35.56,20.32,88.1,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,73.66,20.32,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,64,97.71,180,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,19.05,97.39,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,93.98,40.64,90,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,44.25,94.68,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,75.26,20.32,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,59.99,97.19,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,160.47,1.27,90,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,63.5,-2.54,0,,SJ
TP1,7.34,62.91,0,TPTP20R,TP20R
TP10,63.82,11.91,0,TPTP20R,TP20R
TP11,45.42,11.61,0,TPTP20R,TP20R
TP12,61.44,18.31,0,TPTP20R,TP20R
TP13,68.66,28.71,0,TPTP20R,TP20R
TP14,116.88,14.31,0,TPTP20R,TP20R
TP15,88.42,60.81,0,TPTP20R,TP20R
TP16,106.7,5.51,0,TPTP20R,TP20R
TP17,75.2,34.21,0,TPTP20R,TP20R
TP2,17.36,62.31,0,TPTP20R,TP20R
TP3,114.31,19.71,0,TPTP20R,TP20R
TP4,52.56,4.99,0,TPTP20R,TP20R
TP5,31.08,24.79,0,TPTP20R,TP20R
TP6,29.4,51.01,0,TPTP20R,TP20R
TP7,18.85,25.71,0,TPTP20R,TP20R
TP8,13.97,-9.11,0,TPTP20R,TP20R
TP9,9.79,-4.49,0,TPTP20R,TP20R
U1,34.29,45.72,0,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.7,45.72,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,86.36,45.72,270,DS3231SN#,SOIC127P1032X265-16N
U4,139.7,29.21,0,MAX17048G+T10,SON50P200X200X80-9N
